City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,cill airne,52.05,-9.5167,14.09,95,99,1.59,IE,1723068778
283,ust-nera,64.5667,143.2,11.46,88,100,1.37,RU,1723068779
284,balabac,7.9868,117.0645,26.79,83,91,2.6,PH,1723068780
285,naberera,-4.2,36.9333,14.9,92,24,3.93,TZ,1723068781
286,chagoda,59.164,35.3285,11.71,92,28,2.16,RU,1723068782
287,el matama,16.7095,33.3565,29.75,59,100,3.97,SD,1723068784
288,conduaga,8.862,117.4893,25.7,86,100,1.88,PH,1723068785
289,kolokani,13.5728,-8.0339,25.03,83,87,2.9,ML,1723068786
290,kuching,1.55,110.3333,25.61,94,40,1.03,MY,1723068787
291,prado,-17.3411,-39.2208,22.2,74,0,3.39,BR,1723068788
292,south tamworth,43.8248,-71.3031,25.31,63,83,0.45,US,1723068789
293,santa maria del oro,25.9333,-105.3667,30.76,24,81,5.58,MX,1723068791
294,hilo,19.7297,-155.09,28.38,74,0,4.63,US,1723068792
295,dryden,49.7833,-92.7503,21.16,68,75,6.17,CA,1723068793
296,geraldton,-28.7667,114.6,13.23,94,75,4.63,AU,1723068794
297,saipan,15.1355,145.701,30.39,79,20,2.57,MP,1723068795
298,masterton,-40.9597,175.6575,10.61,67,100,3.95,NZ,1723068796
299,rikaze,29.25,88.8833,13.92,54,100,1.89,CN,1723068797
300,pacific grove,36.6177,-121.9166,25.96,81,0,4.12,US,1723068799
301,hudson,40.7168,-74.0663,20.01,91,100,6.69,US,1723068699
302,jinchang,38.4953,102.1739,21.49,72,99,0.87,CN,1723068801
303,lubang,13.8584,120.124,28.82,77,21,7.63,PH,1723068802
304,aver-o-mar,41.4078,-8.7812,20.04,88,0,1.54,PT,1723068803
305,angaur state,6.906,134.13,28.55,75,97,4.35,PW,1723068804
306,sal rei,16.1833,-22.9167,24.36,75,37,4.63,CV,1723068807
307,minot,48.2325,-101.2963,20.12,45,20,7.2,US,1723068780
308,queenstown,-31.8976,26.8753,10.86,30,18,2.23,ZA,1723068809
309,sinabang,2.4803,96.3801,26.46,82,100,1.33,ID,1723068810
310,susuman,62.7833,148.1667,10.42,80,100,0.85,RU,1723068811
311,thousand palms,33.82,-116.3903,41.91,31,0,4.47,US,1723068812
312,dangriga,16.9692,-88.2321,29.52,71,100,3.43,BZ,1723068813
313,zayed city,24.3768,54.589,35.0,60,0,2.06,AE,1723068815
314,trois-rivieres,46.3501,-72.5491,23.97,50,0,2.57,CA,1723068816
315,ati,13.2154,18.3353,27.36,69,100,5.51,TD,1723068817
316,fort mcmurray,56.7268,-111.381,22.77,37,0,3.09,CA,1723068819
317,bubaque,11.2833,-15.8333,26.39,84,97,7.55,GW,1723068820
318,komsomol'skiy,43.9783,46.6985,22.53,75,85,4.27,RU,1723068822
319,lubango,-14.9172,13.4925,17.19,32,0,1.86,AO,1723068823
320,uchiza,-8.4592,-76.4633,24.18,79,84,1.98,PE,1723068824
321,adelaide,-34.9333,138.6,13.42,61,0,6.17,AU,1723068825
322,eskilstuna,59.3666,16.5077,18.88,88,100,3.21,SE,1723068826
323,luanco,43.6152,-5.7934,20.88,83,100,2.24,ES,1723068827
324,sogndal,61.2283,7.1003,13.21,81,50,0.0,NO,1723068829
325,laayoune,27.1622,-13.2032,22.19,100,2,9.77,EH,1723068830
326,copiapo,-27.3667,-70.3333,16.35,49,0,2.14,CL,1723068560
327,ciudad guayana,8.3533,-62.6528,26.4,91,100,2.71,VE,1723068832
328,gracemere,-23.4333,150.45,17.99,82,100,3.09,AU,1723068833
329,magole,-6.3667,37.3667,20.0,81,10,1.56,TZ,1723068834
330,luderitz,-26.6481,15.1594,10.98,84,62,1.85,NA,1723068835
331,churachandpur,24.3333,93.6667,21.22,93,100,0.89,IN,1723068837
332,kill devil hills,36.0307,-75.676,25.55,97,40,4.12,US,1723068838
333,kununurra,-15.7667,128.7333,16.99,88,79,0.0,AU,1723068839
334,fort st. john,56.2499,-120.8529,24.94,36,20,3.6,CA,1723068840
335,chibougamau,49.9168,-74.3659,17.79,63,75,1.54,CA,1723068842
336,arraial do cabo,-22.9661,-42.0278,22.98,83,0,4.12,BR,1723068843
337,uvira,-3.4067,29.1458,24.62,57,41,0.43,CD,1723068845
338,black point,-34.6187,137.8972,13.07,60,91,10.97,AU,1723068846
339,amga,60.8953,131.9608,12.68,69,0,1.41,RU,1723068847
340,pandan,14.0453,124.1694,27.46,85,55,3.69,PH,1723068848
341,elliot lake,46.3834,-82.6331,23.05,34,18,3.59,CA,1723068741
342,changping,40.2186,116.2197,22.8,78,27,1.54,CN,1723068851
343,mawu,34.4307,104.9176,16.02,100,100,2.19,CN,1723068853
344,shira,54.4911,89.9531,13.87,90,78,2.77,RU,1723068854
345,nar'yan-mar,67.6713,53.087,5.25,90,7,2.92,RU,1723068855
346,linxia chengguanzhen,35.6003,103.2064,16.21,90,100,1.71,CN,1723068856
347,kulhudhuffushi,6.6221,73.07,28.09,77,89,6.44,MV,1723068857
348,alto barinas,8.5931,-70.2261,28.66,80,38,1.25,VE,1723068677
349,chinde,26.8212,87.7095,23.87,92,100,1.23,NP,1723068861
350,puerto baquerizo moreno,-0.9,-89.6,21.55,88,75,7.72,EC,1723068862
351,butha-buthe,-28.8333,28.5,4.29,25,52,2.32,LS,1723068863
352,tralee,52.2704,-9.7026,13.25,96,92,2.22,IE,1723068864
353,zaragoza,41.6561,-0.8773,28.9,51,0,6.17,ES,1723068863
354,port elizabeth,-33.918,25.5701,12.4,57,20,3.09,ZA,1723068866
355,tongliao,43.6125,122.2653,22.58,67,40,2.65,CN,1723068867
356,boca do acre,-8.7522,-67.3978,32.05,40,93,1.43,BR,1723068869
357,miguel ahumada,30.6167,-106.5167,35.33,21,97,3.74,MX,1723068870
358,yebaishou,41.3975,119.6408,22.0,86,1,2.11,CN,1723068871
359,baotou,40.6522,109.8222,22.43,60,11,3.37,CN,1723068872
360,pisco,-13.7,-76.2167,18.34,72,20,6.69,PE,1723068873
361,kharan,28.5833,65.4167,31.92,39,98,3.35,PK,1723068874
362,bandarbeyla,9.4942,50.8122,25.09,84,44,13.83,SO,1723068875
363,harnai,30.1005,67.9374,28.64,68,16,0.69,PK,1723068877
